Lang Num	Term Num	Term Abbrev
1	1	LB
1	2	LF
1	3	LE
1	4	F
1	6	G
2	1	AA
2	4	EP
2	5	IT
2	14	NR
2	17	TK
2	21	YN
3	1	EL
3	2	NG
3	3	AT
3	4	DA
3	6	BA
3	7	AA
3	12	ID
3	15	PA
4	1	SA
4	2	KE
4	4	KA
4	5	TA
4	6	TX
5	1	6
5	2	2
5	3	4
5	4	5
5	5	9
5	6	7
5	8	1
6	1	HA
6	2	SI
6	3	YA
6	6	HN
6	8	SN
6	11	HS
7	2	C
7	3	J
7	4	JU
7	6	N
7	9	CH
7	15	NT
7	18	TA
7	20	T
7	24	WE
8	1	AM
8	4	AH
8	5	A
8	6	I
8	10	K
8	12	KW
9	1	ER
9	2	RA
9	3	GR
9	4	AA
9	5	TS
9	6	FA
10	1	MU
10	2	CO
10	3	NA
10	4	PO
10	5	NN
10	6	NE
11	2	A
11	3	G
11	4	W
11	6	K
11	7	H
11	8	M
11	9	N
12	1	G
12	2	G
12	3	F
12	4	F
12	5	GI
12	6	GI
12	7	H
12	8	B
12	9	B
13	2	ER
13	16	JA
13	18	SE
13	19	SI
13	22	TI
14	12	F
14	17	K
14	22	Z
15	1	A
15	4	BR
15	5	R
15	7	T
15	8	K
16	1	J
16	2	R
16	3	D
16	4	M
16	5	L
16	6	E
17	1	SK
17	2	KK
17	3	QU
17	4	KN
17	6	RX
17	8	AZ
17	9	CL
17	10	MO
17	11	CK
17	13	RO
17	16	LL
17	21	CO
18	1	TY
18	2	TA
18	3	CH
19	4	B
19	5	CF
19	12	FC
19	13	FJ
19	14	F
19	20	M
19	22	N
19	28	R
19	31	TS
20	1	B
20	2	C
20	4	K
20	5	KN
20	6	KV
20	13	P
21	4	JA
21	5	PJ
21	6	PA
21	7	PU
21	8	SA
21	9	SE
22	1	FI
22	2	PA
22	3	UN
22	4	LA
22	5	LU
23	1	J
23	2	C
23	3	S
23	4	N
24	1	AM
24	2	A
24	3	B
24	4	CH
24	5	C
24	10	L
24	13	N
24	14	R
24	15	S
24	17	V
25	1	H
25	2	R
25	3	U
25	4	S
25	5	K
25	6	A
25	7	E
26	1	LA
26	2	TA
26	3	GA
26	4	NA
26	5	RA
26	6	MC
26	7	CA
26	8	RO
27	1	CB
27	2	CT
27	7	AM
27	8	AS
27	11	VE
27	12	MO
27	13	PU
27	22	CL
28	1	FJ
28	2	DZ
28	3	PF
28	4	KF
28	7	BJ
28	9	BL
29	1	C
29	2	Q
29	3	I
29	4	Y
29	5	T
29	6	S
30	1	FI
30	2	PA
30	3	LU
30	4	OS
30	5	LA
31	1	WP
31	2	WI
31	3	MU
31	4	US
31	5	EP
32	1	SI
32	2	NI
32	3	MI
32	4	HI
33	1	C
33	2	G
33	3	H
33	4	MN
33	5	M
33	6	O
33	7	R
34	3	K
34	4	B
34	11	G
34	13	L
34	20	T
34	22	W
35	1	B
35	2	F
35	4	M
35	8	T
35	9	W
35	10	Y
36	1	E
36	2	B
36	3	EB
37	1	OS
37	2	TE
37	3	HU
37	4	JA
37	5	TA
37	6	PO
38	1	WU
38	2	JA
38	3	FU
38	4	AM
38	5	VE
38	6	DI
38	7	GU
38	8	RO
38	9	CH
38	10	BE
39	1	NI
39	2	TA
39	3	TO
39	4	VA
39	5	RA
39	7	RJ
39	9	TE
40	1	PO
40	2	Y
40	3	P
40	4	C
40	5	PI
40	6	O
40	7	U
41	1	TO
41	2	OS
41	3	SE
41	4	SA
41	5	SI
41	6	SU
42	1	T
42	2	K
42	3	B
42	4	S
42	5	N
42	6	D
43	1	BA
43	2	FD
43	3	GA
43	4	BF
44	1	KE
44	2	PO
44	3	RE
44	4	LA
44	5	HE
44	6	NA
45	3	M
45	5	MO
45	7	O
45	9	T
45	10	TS
45	12	Y
46	1	RA
46	3	MB
46	5	NC
46	6	ML
46	7	NT
46	8	AZ
46	9	MR
46	11	CH
46	13	RO
46	16	IT
47	1	KU
47	2	MA
47	3	YB
47	4	YG
47	5	KW
48	1	MA
48	2	AN
48	3	MD
48	4	ML
48	5	EM
48	6	BG
48	7	KI
49	1	WH
49	2	YW
49	3	PA
49	4	WI
49	5	PR
50	1	P
50	2	E
50	3	J
50	4	S
50	5	L
51	1	M
51	2	K
51	3	L
51	4	T
51	5	S
51	9	W
52	1	EF
52	2	KA
52	3	KO
52	6	MO
52	8	YA
52	10	HA
53	1	K
53	2	U
53	3	B
53	4	I
53	5	T
53	7	D
54	1	KL
54	2	SG
54	3	KN
54	4	JJ
54	5	DS
54	6	KK
55	1	J
55	3	L
55	4	N
55	7	P
55	8	D
55	9	K
56	1	TS
56	2	BB
56	3	AF
56	4	GA
57	1	O
57	2	P
57	3	PP
57	5	BL
57	6	G
57	7	B
57	8	W
57	9	Y
57	10	R
57	11	BR
57	14	GR
58	3	G
58	4	I
58	8	N
59	1	CC
59	2	CB
59	3	GN
59	4	AR
59	5	GO
60	1	AS
60	6	IC
60	17	NK
61	1	DU
61	2	RE
61	3	WI
61	4	LE
62	1	PE
62	2	SA
62	3	ZE
62	7	BU
62	9	DO
62	10	BI
63	1	GI
63	2	AR
63	3	ME
64	25	M
64	26	I
64	38	P
64	48	Y
65	1	R
65	4	K
65	5	N
65	6	P
65	7	F
65	9	U
66	1	U
66	2	P
66	3	C
66	4	S
67	2	CA
67	4	CN
67	9	JX
67	18	IX
67	26	MB
67	27	MZ
67	28	MR
67	30	NR
67	37	PT
67	42	TX
68	1	AL
68	2	SU
68	4	MO
68	5	CH
68	6	VE
68	7	SI
68	8	TI
68	9	RO
68	11	JM
68	12	HA
69	1	KP
69	2	HI
69	3	AG
69	4	HW
69	5	WQ
69	17	HO
70	1	W
70	2	G
70	3	M
70	4	T
70	5	E
70	6	S
71	1	HA
71	2	LO
71	3	KI
71	4	LA
71	6	HO
71	7	BA
71	9	CA
71	12	SO
72	3	7
72	4	2
72	5	1
72	6	3
72	7	6
72	10	5
72	12	4
72	14	8
73	2	I
73	3	D
73	4	S
73	5	U
73	6	N
74	1	B
74	2	BI
74	3	A
74	4	K
75	1	C
75	2	G
75	3	ME
75	4	MA
75	5	R
75	6	K
75	7	V
76	1	H
76	3	A
76	5	U
77	1	F
77	2	N
77	3	W
78	1	NE
78	2	SO
78	3	CI
78	4	KA
78	5	KO
78	6	MO
78	7	IS
78	10	TL
79	1	B
79	2	F
79	3	J
79	5	M
79	6	S
79	7	T
80	1	C
80	2	U
80	3	K
80	4	O
80	5	T
80	6	W
80	7	I
80	10	Z
81	1	V
81	2	N
81	3	HI
81	4	Z
81	5	K
81	8	B
82	1	W
82	2	E
82	4	P
82	5	K
82	8	O
83	1	DD
83	2	SK
83	3	SA
83	4	HW
83	9	DE
83	13	HS
84	1	BK
84	2	WE
84	3	BE
84	4	KO
84	5	GU
84	8	JF
85	1	E
85	2	I
85	3	S
85	4	O
85	5	P
85	6	X
85	7	WW
85	10	WP
86	1	FS
86	2	FE
86	3	CA
86	4	TA
86	10	GA
86	14	HU
87	2	C
87	4	I
87	7	O
87	9	S
87	11	IR
88	1	EN
88	2	EK
88	3	ET
88	4	ZZ
88	5	EP
88	6	TO
88	7	IT
88	8	IM
89	1	B
89	2	N
89	3	R
89	4	K
89	5	M
90	2	E
90	3	K
90	4	N
90	5	I
90	7	Y
91	1	DB
91	2	PS
91	3	DR
91	4	TD
91	5	DA
92	1	RS
92	2	CC
92	3	SS
92	4	SA
92	5	ST
92	6	FF
92	9	EE
93	1	RS
93	2	CC
93	3	SE
93	4	SA
93	5	SI
93	6	RO
94	1	K
94	2	B
94	3	I
94	4	U
94	5	L
94	6	E
95	2	DD
95	9	K
95	14	P
95	17	SH
95	21	S
95	22	SR
96	2	CO
96	3	DA
96	4	DE
96	6	WE
96	7	YX
97	1	NA
97	2	TI
97	4	DU
97	5	AA
97	6	TM
98	1	X
98	2	M
98	3	O
98	4	A
98	5	U
98	6	S
98	7	D
99	1	NA
99	2	BA
99	3	SA
99	4	EA
99	5	YA
100	1	A
100	2	R
100	3	U
101	1	P
101	3	N
101	4	R
101	6	U
101	7	K
102	11	N
102	13	O
102	14	W
102	18	WT
103	7	M
103	14	K
103	21	Y
103	24	D
103	31	A
104	1	L
104	2	S
104	3	K
105	1	Z
105	2	P
105	3	T
106	1	G
106	2	B
106	3	S
106	4	T
106	5	I
106	7	BI
106	8	P
106	9	K
106	10	PO
106	11	KU
106	12	A
107	1	FI
107	2	OX
107	3	OS
107	4	CH
107	5	DA
108	1	CA
108	2	IA
108	3	IP
108	4	JA
108	5	JE
108	8	QA
109	2	E
109	6	K
109	16	Q
109	18	S
109	23	T
109	26	Y
110	1	B
110	3	R
110	4	Y
110	6	P
110	7	W
